DATE,HNFSEPUSSA,HOUST1F,HSN1F,INTDSRUSM193N,LFACTTTTUSM657S,MSACSR,NA000334Q,NASDAQCOM,PERMIT,PERMIT1,QUSR628BIS,RSAHORUSQ156S,TTLCONS,UNRATE,Median Home Price (NSA),CPI-Adjusted Price,CSUSHPISA
1/1/2000,311,1268,873,5,1.490972128,4.3,2448892,4013.494,1727,1277,95.3071,67.1,784940,4,131559.13,239289.53,100.551
2/1/2000,299,1255,856,5.24,0.132848798,4.3,2448892,4410.871,1692,1241,95.3071,67.1,793737,4.1,131318.85,237445.83,101.339
3/1/2000,313,1313,900,5.34,-0.015443365,4.3,2448892,4802.988261,1651,1253,95.3071,67.1,809459,4,132827.82,238210.25,102.127
4/1/2000,305,1275,841,5.5,0.22255922,4.4,2569266,3863.637368,1597,1192,96.7197,67.3,804766,3.8,134096.51,240345.1,102.922
5/1/2000,305,1230,857,5.71,-0.254288937,4.4,2569266,3528.416818,1543,1182,96.7197,67.3,805005,4,135144.14,241940.32,103.678
6/1/2000,306,1202,793,6,0.142568194,4.8,2569266,3865.476818,1572,1156,96.7197,67.3,795411,4,136537.77,243159.2,104.424
7/1/2000,303,1142,887,6,-0.219508945,4.1,2577927,4017.685,1542,1152,98.0394,67.5,783795,4,137220.17,243808.8,105.054
8/1/2000,302,1231,848,6,0.165872447,4.4,2577927,3909.596957,1552,1173,98.0394,67.5,805341,4.1,137623.85,244526.04,105.768
9/1/2000,300,1195,912,6,0.002806742,4,2577927,3875.822,1570,1189,98.0394,67.5,814330,3.9,138200.52,244278.37,106.538
10/1/2000,301,1235,933,6,0.072973238,4,2655636,3333.824545,1577,1224,99.7249,67.5,816100,3.9,138652.25,244654.29,107.382
11/1/2000,305,1212,880,6,0.238392394,4.2,2655636,3055.415238,1614,1208,99.7249,67.5,820054,3.9,139084.76,245276.49,108.302
12/1/2000,298,1226,983,6,0.200053161,3.6,2655636,2657.8075,1543,1180,99.7249,67.5,811516,3.9,139507.66,246163.67,109.14
1/1/2001,296,1275,936,5.52,0.385345694,3.8,2562488,2656.864286,1699,1251,101.1505,67.6,814479,4.2,140103.56,245662.11,109.846
2/1/2001,296,1280,963,5,-0.068845619,3.7,2562488,2449.569474,1656,1242,101.1505,67.6,813647,4.2,141016.63,246278.57,110.5
3/1/2001,292,1218,939,4.81,0.155183332,3.8,2562488,1986.663182,1659,1232,101.1505,67.6,828057,4.3,142275.7,247913.39,111.109
4/1/2001,294,1311,909,4.28,-0.246657958,3.9,2656407,1933.928,1666,1259,101.8607,67.8,842392,4.4,143515.56,249084.28,111.652
5/1/2001,295,1285,885,3.73,-0.174828828,4,2656407,2181.128636,1665,1240,101.8607,67.8,848146,4.3,144697.75,250005.47,112.164
6/1/2001,301,1295,882,3.47,0.027212213,4.2,2656407,2112.052857,1626,1252,101.8607,67.8,855730,4.5,145899.15,251656.36,112.796
7/1/2001,305,1298,880,3.25,0.207175094,4.2,2651366,2033.978571,1598,1235,103.6665,67.9,850471,4.6,146725.72,253794.99,113.491
8/1/2001,308,1286,866,3.16,-0.257563312,4.4,2651366,1929.712609,1615,1241,103.6665,67.9,847465,4.9,147273.57,254742.62,114.167
9/1/2001,310,1243,853,2.77,0.492029815,4.4,2651366,1573.31,1565,1192,103.6665,67.9,837412,5,147782.96,254476.79,114.812
10/1/2001,308,1240,871,2.02,0.067366257,4.3,2711715,1656.428261,1566,1185,105.6761,67.9,845941,5.3,148350.03,256315.79,115.31
11/1/2001,308,1244,924,1.58,0.106880613,4.1,2711715,1870.062381,1651,1229,105.6761,67.9,843911,5.5,148321.2,256699.35,115.857
